sale_id,customer_id,product_id,date_id,quantity,total_amount,discount
1,313,39,20230705,4,762.41,182.9784
2,309,8,20230609,2,356.08,96.1416
3,987,53,20230113,9,446.86,58.091800000000006
4,496,48,20230307,3,29.54,8.2712
5,317,16,20230203,3,989.92,89.0928
6,14,62,20231022,4,917.13,275.139
7,652,10,20230812,5,997.06,209.38259999999997
8,237,94,20230510,6,764.88,91.7856
9,769,38,20230914,6,456.27,36.501599999999996
10,214,49,20230506,3,86.63,5.1978
11,586,15,20230731,1,93.02,8.371799999999999
12,741,71,20230308,9,762.79,152.558
13,477,81,20230517,2,41.63,8.7423
14,895,45,20230521,6,836.19,0.0
15,399,5,20230425,9,51.08,7.661999999999999
16,177,80,20230606,10,248.06,64.4956
17,694,16,20231128,7,321.06,67.4226
18,786,25,20230512,1,490.14,29.408399999999997
19,905,90,20231030,10,612.97,140.9831
20,675,75,20231001,1,768.68,84.5548
21,409,44,20231217,1,410.77,16.430799999999998
22,590,91,20231219,1,759.68,106.3552
23,855,87,20231105,5,890.6,258.274
24,685,6,20230216,6,190.33,19.033
25,619,5,20230329,7,912.04,200.6488
26,290,36,20230517,7,147.03,8.8218
27,544,12,20230513,2,382.13,53.498200000000004
28,509,90,20231117,6,276.48,63.59040000000001
29,895,100,20230919,8,758.36,53.08520000000001
30,458,83,20230206,7,906.38,235.6588
31,433,47,20231114,10,972.83,233.4792
32,571,70,20230329,2,363.22,32.6898
33,629,99,20230516,3,308.48,74.0352
34,427,38,20230715,4,889.27,204.5321
35,25,39,20230219,4,729.41,43.764599999999994
36,625,51,20230503,7,190.9,45.816
37,292,61,20231202,3,997.85,289.37649999999996
38,524,63,20230225,7,775.44,162.8424
39,773,91,20230425,3,202.56,14.179200000000002
40,800,65,20230131,7,470.8,56.496
41,875,100,20230526,8,564.37,33.8622
42,123,77,20231021,3,110.21,2.2041999999999997
43,139,17,20230816,10,920.91,110.50919999999999
44,803,97,20230102,3,614.57,153.6425
45,227,86,20230224,8,770.47,46.2282
46,648,76,20230901,4,317.67,44.473800000000004
